,Name,Count,Null,Accuracy,Completeness,Validity,Currentness,Consistency
0,Patient ID,8763,0,1.0,1.0,0.99943,Mon Dec 11 11:27:27 2023,[]
1,Age,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,"[12, 48, 160, 183, 297, 321, 374, 431, 462, 525, 610, 652, 853, 995, 1172, 1503, 1551, 1694, 1734, 1835, 1960, 2013, 2040, 2102, 2375, 2387, 2491, 2504, 2733, 2855, 2986, 2998, 3008, 3025, 3040, 3061, 3175, 3212, 3797, 3902, 4143, 4184, 4344, 4361, 4462, 4516, 4716, 4760, 4953, 5123, 5132, 5204, 5232, 5267, 5313, 5583, 5595, 5853, 6203, 6351, 6432, 6586, 6718, 6791, 6926, 7122, 7195, 7245, 7466, 7592, 7609, 7683, 7688, 7795, 7889, 8075, 8083, 8221, 8252, 8500, 8618, 8719]"
2,Sex,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
3,Cholesterol,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
4,Heart Rate,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
5,Diabetes,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
6,Family History,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
7,Smoking,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
8,Obesity,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
9,Alcohol Consumption,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
10,Exercise Hours Per Week,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
11,Diet,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
12,Previous Heart Problems,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
13,Medication Use,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
14,Stress Level,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
15,Sedentary Hours Per Day,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
16,Income,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
